Age_band_of_driver,Driving_experience,Road_surface_conditions,Light_conditions,Weather_conditions,Number_of_vehicles_involved,Number_of_casualties,Casualty_severity,Accident_severity,Sex_of_driver_Female,Sex_of_driver_Male,Sex_of_driver_Unknown,Type_of_vehicle_Commercial Vehicle,Type_of_vehicle_Non-Motorized,Type_of_vehicle_Other,Type_of_vehicle_Private Vehicle,Type_of_vehicle_Public Transport,Type_of_vehicle_Special Vehicle,Owner_of_vehicle_Governmental,Owner_of_vehicle_Organization,Owner_of_vehicle_Other,Owner_of_vehicle_Owner,Vehicle_driver_relation_Employee,Vehicle_driver_relation_Other,Vehicle_driver_relation_Owner,Vehicle_driver_relation_Unknown,Road_surface_type_Asphalt roads,Road_surface_type_Asphalt roads with some distress,Road_surface_type_Earth roads,Road_surface_type_Gravel roads,Road_surface_type_Other,Type_of_collision_kfold,Types_of_Junction_kfold,Lanes_or_Medians_kfold,Day_kfold,Cause_of_accident_kfold,Hour_kfold,Area_accident_occured_kfold,Road_allignment_kfold,Vehicle_movement_kfold
2,2,0,2,2,2,1,2,2,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1.8376140350877193,1.8118682751874797,1.830921553693831,1.8360309641097818,1.8570508692852543,1.8601769911504424,1.8461538461538463,1.8340420505551618,1.834099396725079
0,0,0,2,2,2,1,1,2,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1.8387096774193548,1.8109339407744875,1.8356164383561644,1.8377412437455325,1.7959183673469388,1.858736059479554,1.8426966292134832,1.8336678078148978,1.8360820306898036
0,1,0,2,2,1,1,3,2,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1.826896551724138,1.8739255014326648,1.831858407079646,1.8663663663663663,1.832582322357019,1.8241279069767442,1.8149253731343284,1.8336678078148978,1.8360820306898036
0,3,0,2,2,1,1,2,2,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1.8186666666666667,1.8094457199081666,1.8352402745995424,1.8333333333333333,1.861256544502618,1.8309492847854356,1.8067278287461774,1.8341589997640952,1.8244897959183672
0,4,0,2,2,2,1,2,2,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1.8387096774193548,1.8109339407744875,1.8247764160317985,1.8315217391304348,1.832582322357019,1.8241279069767442,1.8316279069767443,1.8336678078148978,1.8241491085899513
1,1,0,2,2,2,1,3,2,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1.8270676691729324,1.8094457199081666,1.830289193302892,1.8333333333333333,1.8471834913552705,1.8145985401459854,1.8067278287461774,1.8341589997640952,1.8179669030732861
2,4,0,2,2,2,1,2,2,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1.8394160583941606,1.8083333333333333,1.8288787483702738,1.8074398249452954,1.8570508692852543,1.8502495840266222,1.894736842105263,1.838235294117647,1.834099396725079
0,2,0,2,2,2,1,2,2,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1.8542274052478134,1.838235294117647,1.8352402745995424,1.8086696562032885,1.8471834913552705,1.8330708661417323,1.9333333333333333,1.8403361344537814,1.8362339514978603
0,0,0,0,2,2,2,3,2,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1.826896551724138,1.8739255014326648,1.8531994981179423,1.829593693147362,1.852374839537869,1.7661290322580645,1.8348457350272231,1.8336678078148978,1.8360820306898036
2,4,0,0,2,2,2,1,2,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1.7969924812030076,1.8739255014326648,1.8247764160317985,1.829593693147362,1.8448753462603877,1.7661290322580645,1.8149253731343284,1.8225806451612903,1.8360820306898036
2,2,0,0,2,2,2,3,2,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1.7925925925925925,1.8767123287671232,1.8188073394495412,1.8333333333333333,1.8282097649186257,1.7768595041322315,1.8033472803347281,1.828703156401466,1.8293031907282873
2,4,0,2,2,2,1,2,2,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1.7774607703281027,1.8094457199081666,1.830289193302892,1.816131830008673,1.8358003442340791,1.8431105047748977,1.7897727272727273,1.8341589997640952,1.8362339514978603
1,4,0,2,2,2,1,3,2,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1.8396345748418834,1.8163923846402066,1.8306636155606408,1.828190158465388,1.8240146654445464,1.8437067773167357,1.8142589118198875,1.8349112426035503,1.835801765878667
1,2,0,0,2,2,2,2,2,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1.8419277785583814,1.8094457199081666,1.830289193302892,1.816131830008673,1.8358003442340791,1.8125,1.8414779499404053,1.8341589997640952,1.8362339514978603
0,1,0,0,2,2,2,2,2,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1.799151343705799,1.8109339407744875,1.8247764160317985,1.8271186440677967,1.852374839537869,1.7955974842767295,1.8348457350272231,1.8336678078148978,1.8360820306898036
0,3,0,2,2,2,1,2,2,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1.8396345748418834,1.8322505800464037,1.8297705943691345,1.843814789219074,1.8466593647316538,1.832183908045977,1.8417085427135678,1.8209876543209877,1.835801765878667
0,3,0,2,2,2,1,2,2,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1.8219824679703305,1.834525732748673,1.8328940432261465,1.840082361015786,1.8296167247386759,1.8370044052863437,1.8429602888086642,1.8645833333333333,1.834099396725079
